address,property_status,sale_amount,sale_date,multi_lot_sale
"24 ALBION ST, COTTESLOE",Non Strata,780000,2016-05-18,Y
"24 ALBION ST, COTTESLOE",Non Strata,780000,2016-05-18,Y
"24 ALBION ST, COTTESLOE",Non Strata,330500,2000-02-03,Y
"533 STIRLING HWY, COTTESLOE",Vacant,2200000,2020-11-12,N
"38 F NAPOLEON ST, COTTESLOE",Non Strata,13350,2003-04-16,Y
"36 F NAPOLEON ST, COTTESLOE",Non Strata,2266000,2017-03-22,Y
"22 F NAPOLEON ST, COTTESLOE",Non Strata,12600,2003-04-16,Y
"1/64 BROOME ST, COTTESLOE",Strata,5850000,2022-07-14,N
"64 BROOME ST, COTTESLOE",Non Strata,5000000,2018-11-08,N
"62 BROOME ST, COTTESLOE",Non Strata,7000000,2021-05-15,N
"1 ROSSER ST, COTTESLOE",Non Strata,545000,1993-09-25,N
"3 ROSSER ST, COTTESLOE",Non Strata,5550000,2021-12-18,N
"5 ROSSER ST, COTTESLOE",Non Strata,2650000,2014-04-15,N
"3 A ROSSER ST, COTTESLOE",Non Strata,7000000,2023-01-22,N
"4 WEBB ST, COTTESLOE",Non Strata,4725000,2018-08-12,N
"60 B BROOME ST, COTTESLOE",Vacant,4000000,2022-12-06,N
"2 WEBB ST, COTTESLOE",Non Strata,5000000,2021-06-02,N
"2 A WEBB ST, COTTESLOE",Non Strata,3400000,2014-10-29,N
"60 A BROOME ST, COTTESLOE",Vacant,4000000,2022-11-30,N
"54 A BROOME ST, COTTESLOE",Vacant,525000,1996-04-28,N
"1 WEBB ST, COTTESLOE",Non Strata,3800000,2016-04-02,N
"38 PEARSE ST, COTTESLOE",Non Strata,3225000,2020-10-26,N
"3 WEBB ST, COTTESLOE",Non Strata,11000000,2017-04-21,N
"40 PEARSE ST, COTTESLOE",Non Strata,500000,1995-11-10,N
"52 BROOME ST, COTTESLOE",Non Strata,4300000,2006-11-13,N
"36 PEARSE ST, COTTESLOE",Non Strata,2000000,2012-02-07,N
"34 PEARSE ST, COTTESLOE",Strata,2150000,2023-06-30,N
"15 PEARSE ST, COTTESLOE",Non Strata,10500000,2007-10-11,N
"13 PEARSE ST, COTTESLOE",Non Strata,7550000,2016-11-04,N
"34 AVONMORE TCE, COTTESLOE",Vacant,1600000,2014-01-07,N
"24 DEANE ST, COTTESLOE",Non Strata,2950000,2020-09-18,N
"28 DEANE ST, COTTESLOE",Non Strata,3625000,2009-09-28,N
"30 DEANE ST, COTTESLOE",Non Strata,2160000,2016-10-17,N
"32 DEANE ST, COTTESLOE",Non Strata,3150000,2012-12-11,N
"17 PEARSE ST, COTTESLOE",Strata,5800000,2009-10-10,N
"19 A PEARSE ST, COTTESLOE",Non Strata,7400000,2008-04-21,N
"45 BROOME ST, COTTESLOE",Non Strata,5000000,2011-05-11,N
"35 PEARSE ST, COTTESLOE",Non Strata,2450000,2017-06-20,Y
"10 LILLIAN ST, COTTESLOE",Non Strata,1300000,2012-01-23,N
"39 PEARSE ST, COTTESLOE",Strata,850000,2004-08-25,N
"12 LILLIAN ST, COTTESLOE",Non Strata,3100000,2020-11-09,N
"14 LILLIAN ST, COTTESLOE",Non Strata,2285000,2019-11-14,N
"8 LILLIAN ST, COTTESLOE",Non Strata,525000,1998-10-10,N
"37 A PEARSE ST, COTTESLOE",Non Strata,2600000,2017-07-03,N
"37 PEARSE ST, COTTESLOE",Vacant,801000,2005-04-02,N
"6 A LILLIAN ST, COTTESLOE",Non Strata,1350000,2005-03-20,N
"4 LILLIAN ST, COTTESLOE",Non Strata,1375000,2021-04-19,N
"35 PEARSE ST, COTTESLOE",Non Strata,2450000,2017-06-20,Y
"35 PEARSE ST, COTTESLOE",Non Strata,2450000,2017-06-20,Y
"6 LILLIAN ST, COTTESLOE",Non Strata,1800000,2021-08-23,N
"46 BROOME ST, COTTESLOE",Non Strata,1100000,2001-05-13,Y
"46 A BROOME ST, COTTESLOE",Non Strata,1100000,2001-05-13,Y
"29 PEARSE ST, COTTESLOE",Non Strata,1800000,2005-09-05,Y
"27 PEARSE ST, COTTESLOE",Non Strata,1975000,2021-10-23,Y
"48 A BROOME ST, COTTESLOE",Vacant,1840000,2004-09-11,N
"31 PEARSE ST, COTTESLOE",Non Strata,755000,2003-10-14,N
"27 PEARSE ST, COTTESLOE",Non Strata,1975000,2021-10-23,Y
"48 BROOME ST, COTTESLOE",Non Strata,2950000,2011-01-07,N
"29 PEARSE ST, COTTESLOE",Non Strata,1800000,2005-09-05,Y
"43 A BROOME ST, COTTESLOE",Non Strata,1930000,2019-11-14,N
"36 DEANE ST, COTTESLOE",Non Strata,900000,2001-10-16,N
"34 DEANE ST, COTTESLOE",Non Strata,318000,1989-09-07,N
"43 BROOME ST, COTTESLOE",Non Strata,865000,2000-12-11,N
"44 A BROOME ST, COTTESLOE",Non Strata,3250000,2021-03-04,N
"44 BROOME ST, COTTESLOE",Non Strata,2750000,2021-03-01,N
"1 A LILLIAN ST, COTTESLOE",Non Strata,2600000,2018-11-02,N
"4 REGINALD ST, COTTESLOE",Non Strata,1690000,2016-06-03,N
"3 LILLIAN ST, COTTESLOE",Non Strata,1800000,2022-11-02,N
"6 REGINALD ST, COTTESLOE",Non Strata,2729000,2021-01-06,N
"11 LILLIAN ST, COTTESLOE",Non Strata,2900000,2018-07-23,N
"9 LILLIAN ST, COTTESLOE",Non Strata,2960000,2019-09-23,N
"14 REGINALD ST, COTTESLOE",Non Strata,2450000,2013-06-25,N
"12 REGINALD ST, COTTESLOE",Non Strata,3050000,2023-05-23,N
"8 REGINALD ST, COTTESLOE",Non Strata,1600000,2005-02-06,N
"5 LILLIAN ST, COTTESLOE",Non Strata,2500000,2021-10-27,N
"6 B REGINALD ST, COTTESLOE",Non Strata,2205000,2017-11-13,N
"10 REGINALD ST, COTTESLOE",Non Strata,2600000,2023-03-10,N
"7 LILLIAN ST, COTTESLOE",Non Strata,1820000,2005-12-20,N
"40 BROOME ST, COTTESLOE",Non Strata,3400000,2010-10-01,N
"2 REGINALD ST, COTTESLOE",Non Strata,3042500,2014-03-25,N
"1 LILLIAN ST, COTTESLOE",Non Strata,267500,1994-11-29,N
"38 BROOME ST, COTTESLOE",Non Strata,2055000,2013-07-02,N
"2 A REGINALD ST, COTTESLOE",Non Strata,2280000,2019-05-01,N
"42 BROOME ST, COTTESLOE",Non Strata,3400000,2011-08-06,N
"18 A ROSENDO ST, COTTESLOE",Non Strata,2450000,2006-06-03,N
"18 ROSENDO ST, COTTESLOE",Non Strata,2650000,2012-08-24,N
"27 A DEANE ST, COTTESLOE",Non Strata,2500000,2012-05-06,N
"41 BROOME ST, COTTESLOE",Non Strata,1475000,2003-04-15,N
"33 DEANE ST, COTTESLOE",Vacant,260000,1993-10-15,N
"31 DEANE ST, COTTESLOE",Strata,1650000,2014-12-17,N
"1/39 BROOME ST, COTTESLOE",Strata,605000,2022-11-20,N
"23 DEANE ST, COTTESLOE",Strata,1600000,2021-04-02,N
"25 DEANE ST, COTTESLOE",Strata,2300000,2019-12-23,N
"34 A AVONMORE TCE, COTTESLOE",Vacant,5185000,2016-05-27,N
"32 AVONMORE TCE, COTTESLOE",Non Strata,4100000,2017-12-11,N
"20 DEANE ST, COTTESLOE",Non Strata,4350000,2022-08-06,N
"20 A DEANE ST, COTTESLOE",Vacant,2000000,2021-08-16,N
"28 AVONMORE TCE, COTTESLOE",Non Strata,4400000,2019-03-25,N
"30 AVONMORE TCE, COTTESLOE",Non Strata,4600000,2018-03-20,N
"3/24 AVONMORE TCE, COTTESLOE",Strata,4500000,2023-06-01,N
"21 DEANE ST, COTTESLOE",Non Strata,2600000,2012-08-05,N
"24 AVONMORE TCE, COTTESLOE",Non Strata,3070000,2003-10-19,Y
"26 AVONMORE TCE, COTTESLOE",Non Strata,870000,1997-03-22,N
"16 A ROSENDO ST, COTTESLOE",Strata,3250000,2022-02-08,N
"1/22 AVONMORE TCE, COTTESLOE",Strata,300000,2020-02-06,N
"4/14 ROSENDO ST, COTTESLOE",Strata,650000,2014-09-09,N
"25 AVONMORE TCE, COTTESLOE",Non Strata,2295000,2009-12-30,N
"11 DEANE ST, COTTESLOE",Non Strata,2500000,2004-05-12,N
"7 DEANE ST, COTTESLOE",Non Strata,2850000,2014-05-03,N
"10 A ROSENDO ST, COTTESLOE",Vacant,625000,1998-03-25,N
"10 ROSENDO ST, COTTESLOE",Non Strata,3850000,2014-10-22,N
"5 A DEANE ST, COTTESLOE",Strata,1245000,2012-03-18,N
"5/76 MARINE PDE, COTTESLOE",Strata,2055000,2022-04-26,N
"3 A DEANE ST, COTTESLOE",Strata,485000,1997-05-14,N
"78 C MARINE PDE, COTTESLOE",Strata,12000,2003-06-27,N
"15 DEANE ST, COTTESLOE",Non Strata,780000,1994-07-10,N
"13 DEANE ST, COTTESLOE",Non Strata,1750000,2005-03-03,N
"27 AVONMORE TCE, COTTESLOE",Non Strata,2350000,2014-02-24,N
"18 DEANE ST, COTTESLOE",Non Strata,2500000,2009-01-20,N
"16 DEANE ST, COTTESLOE",Strata,1250000,2004-03-13,N
"29 AVONMORE TCE, COTTESLOE",Non Strata,3500000,2014-11-07,N
"16 A DEANE ST, COTTESLOE",Strata,1650000,2016-07-24,N
"14 A DEANE ST, COTTESLOE",Non Strata,4000000,2015-04-21,Y
"14 DEANE ST, COTTESLOE",Non Strata,4000000,2015-04-21,Y
"12 DEANE ST, COTTESLOE",Non Strata,3000000,2015-02-27,N
"8 DEANE ST, COTTESLOE",Non Strata,2750000,2014-10-29,N
"10 DEANE ST, COTTESLOE",Non Strata,3300000,2017-09-13,N
"9 PEARSE ST, COTTESLOE",Non Strata,910000,1998-03-11,N
"7 A PEARSE ST, COTTESLOE",Strata,3550000,2023-05-08,N
"5 A PEARSE ST, COTTESLOE",Non Strata,3950000,2008-08-31,Y
"5 PEARSE ST, COTTESLOE",Non Strata,3000000,2006-04-19,Y
"2/1 PEARSE ST, COTTESLOE",Strata,800000,2019-11-05,N
"84 A MARINE PDE, COTTESLOE",Non Strata,2900000,2016-02-24,N
"86 MARINE PDE, COTTESLOE",Non Strata,800000,2014-02-04,N
"86 MARINE PDE, COTTESLOE",Non Strata,195000,1998-03-05,N
"84 B MARINE PDE, COTTESLOE",Non Strata,2325000,2001-11-17,N
"13/86 MARINE PDE, COTTESLOE",Strata,1100000,2023-03-29,N
"4 DEANE ST, COTTESLOE",Non Strata,3285000,2015-08-06,N
"2 DEANE ST, COTTESLOE",Non Strata,6000000,2017-07-23,N
"6 DEANE ST, COTTESLOE",Non Strata,3485000,2015-12-16,N
"84 MARINE PDE, COTTESLOE",Non Strata,3000000,2011-04-26,N
"2/80 MARINE PDE, COTTESLOE",Strata,2300000,2020-03-05,N
"72 MARINE PDE, COTTESLOE",Non Strata,6000000,2018-03-22,N
"1/74 MARINE PDE, COTTESLOE",Strata,791000,2014-04-12,N
"3/6 ROSENDO ST, COTTESLOE",Strata,1850000,2020-12-09,N
"4/21 AVONMORE TCE, COTTESLOE",Strata,1500000,2021-10-22,N
"9/23 AVONMORE TCE, COTTESLOE",Strata,690000,2023-01-13,N
"12 ROSENDO ST, COTTESLOE",Non Strata,5200000,2013-03-23,N
"11 A ROSENDO ST, COTTESLOE",Strata,2600000,2006-02-03,N
"17 A AVONMORE TCE, COTTESLOE",Vacant,1500000,2022-08-11,N
"17 AVONMORE TCE, COTTESLOE",Vacant,1400000,2022-09-13,N
"2 SALVADO ST, COTTESLOE",Non Strata,15600000,2022-07-25,N
"66 MARINE PDE, COTTESLOE",Non Strata,5500000,2020-06-04,N
"4 B SALVADO ST, COTTESLOE",Strata,1765000,2022-07-26,N
"4/6 SALVADO ST, COTTESLOE",Strata,910000,2022-03-16,N
"13 A AVONMORE TCE, COTTESLOE",Non Strata,3600000,2015-06-25,N
"4/11 ROSENDO ST, COTTESLOE",Strata,950000,2023-09-15,N
"2/8 SALVADO ST, COTTESLOE",Strata,810000,2023-06-27,N
"10 A SALVADO ST, COTTESLOE",Strata,2800000,2021-09-15,N
"13 AVONMORE TCE, COTTESLOE",Non Strata,3850000,2014-09-04,N
"12 SALVADO ST, COTTESLOE",Vacant,2000000,2006-05-17,N
"11 AVONMORE TCE, COTTESLOE",Non Strata,1250000,1997-11-24,N
"15 SALVADO ST, COTTESLOE",Non Strata,3000000,2005-02-02,N
"1/13 SALVADO ST, COTTESLOE",Strata,2540000,2023-05-12,N
"9 SALVADO ST, COTTESLOE",Non Strata,4600000,2020-12-07,N
"4/62 MARINE PDE, COTTESLOE",Strata,3350000,2019-06-21,N
"5/5 SALVADO ST, COTTESLOE",Strata,1216000,2023-08-30,N
"2 BEACH ST, COTTESLOE",Strata,3100000,2021-12-09,N
"50 MARINE PDE, COTTESLOE",Non Strata,10220000,2014-02-25,Y
"50 MARINE PDE, COTTESLOE",Non Strata,10220000,2014-02-25,Y
"48 MARINE PDE, COTTESLOE",Non Strata,5160000,2018-07-03,N
"3 BEACH ST, COTTESLOE",Non Strata,5825000,2022-04-11,N
"4 BEACH ST, COTTESLOE",Non Strata,3000000,2020-02-10,N
"6 BEACH ST, COTTESLOE",Non Strata,3155000,2011-04-11,N
"1 AVONMORE TCE, COTTESLOE",Strata,2525000,2012-04-14,N
"3 AVONMORE TCE, COTTESLOE",Non Strata,4500000,2013-11-10,N
"7 AVONMORE TCE, COTTESLOE",Non Strata,8800000,2017-03-02,N
"5 B AVONMORE TCE, COTTESLOE",Strata,4250000,2022-10-27,N
"1/8 BEACH ST, COTTESLOE",Strata,1525000,2012-12-08,N
"10 BEACH ST, COTTESLOE",Non Strata,1250000,2002-03-10,N
"4 A BEACH ST, COTTESLOE",Non Strata,3400000,2021-09-03,N
"6 A BEACH ST, COTTESLOE",Strata,1400000,2004-07-23,N
"2/3 PRINCES ST, COTTESLOE",Strata,1080000,2011-11-10,N
"1/3 PRINCES ST, COTTESLOE",Strata,5800000,2023-04-06,N
"4/5 PRINCES ST, COTTESLOE",Strata,1820000,2008-03-19,N
"2 A BEACH ST, COTTESLOE",Strata,2250000,2005-11-03,N
"54 A MARINE PDE, COTTESLOE",Vacant,350000,1993-12-06,N
"1 B PRINCES ST, COTTESLOE",Strata,480000,2017-12-14,Y
"3/58 MARINE PDE, COTTESLOE",Strata,990000,2023-04-01,N
"60 MARINE PDE, COTTESLOE",Non Strata,5470000,2021-02-19,N
"60 A MARINE PDE, COTTESLOE",Non Strata,5100000,2020-11-02,N
"2/2 PRINCES ST, COTTESLOE",Strata,925000,2020-09-25,N
"6 PRINCES ST, COTTESLOE",Non Strata,875000,1994-10-04,Y
"6 A PRINCES ST, COTTESLOE",Non Strata,875000,1994-10-04,Y
"10 PRINCES ST, COTTESLOE",Strata,1775000,2017-03-16,N
"14 PRINCES ST, COTTESLOE",Non Strata,4450000,2010-09-23,N
"2/8 AVONMORE TCE, COTTESLOE",Non Strata,1125000,2004-06-06,Y
"3/8 AVONMORE TCE, COTTESLOE",Non Strata,3975000,2017-05-09,Y
"16 B PRINCES ST, COTTESLOE",Non Strata,1250000,2015-06-06,Y
"17 B BROOME ST, COTTESLOE",Strata,420000,1994-01-25,N
"7/24 PRINCES ST, COTTESLOE",Strata,2050000,2022-06-26,N
"24 PRINCES ST, COTTESLOE",Non Strata,4100000,2004-07-01,N
"19 PRINCES ST, COTTESLOE",Non Strata,2250000,2010-01-11,N
"21 PRINCES ST, COTTESLOE",Non Strata,170000,1993-08-13,N
"6/9 PRINCES ST, COTTESLOE",Strata,2225000,2023-03-21,N
"16 A BEACH ST, COTTESLOE",Non Strata,2200000,2012-07-27,N
"16 BEACH ST, COTTESLOE",Non Strata,2450000,2017-01-05,N
"4 AVONMORE TCE, COTTESLOE",Non Strata,2040000,2014-12-05,N
"15 B BEACH ST, COTTESLOE",Non Strata,2100000,2021-06-02,Y
"15 A BEACH ST, COTTESLOE",Non Strata,2150000,2021-09-26,Y
"17 A BEACH ST, COTTESLOE",Vacant,700000,2006-07-06,N
"21 BEACH ST, COTTESLOE",Non Strata,4300000,2015-11-06,N
"27 BEACH ST, COTTESLOE",Non Strata,685000,1999-03-29,N
"25 BEACH ST, COTTESLOE",Non Strata,2200000,2003-11-05,N
"34 BEACH ST, COTTESLOE",Non Strata,1800000,2009-02-06,N
"32 BEACH ST, COTTESLOE",Non Strata,860000,1999-12-14,N
"30 BEACH ST, COTTESLOE",Non Strata,1835000,2016-04-15,N
"20 BEACH ST, COTTESLOE",Non Strata,550000,1996-05-04,N
"1/18 BEACH ST, COTTESLOE",Strata,730000,2022-09-27,N
"22 BEACH ST, COTTESLOE",Non Strata,1965000,2011-04-08,N
